topic
['said' 'ukraine' 'refugee' 'the' 'uk']
['the' 'image' 'unknown' 'caption' 'say']
['war' 'say' 'image' 'one' 'caption']
['russian' 'ukraine' 'russia' 'said' 'ukrainian']
['russia' 'ukraine' 'the' 'said' 'mr']
